スマホの使用時間(分),睡眠時間(分),身長(cm),足の大きさ(cm),寿司打のスコア
120,300,152,21.5,3840
300,420,170,24,1700
330,390,165,26.5,30
123,420,175,28.5,780
480,420,175,26,1080
325,480,159,24,2180
480,540,180,23,2700
625,360,176,27.5,1080
374,420,155,23.5,240
480,360,175,27.5,1350
960,360,175,27.5,2280
321,480,181,31,230
593,420,168,27,0
800,420,177,25.5,0
880,360,176,27.5,420
551,480,167,26,1580
693,330,168,24,700
540,180,157,24,800
600,480,164,26,3180
979,480,154,23.5,0
450,560,175,27,0
769,360,178,27.5,880
960,390,160,24,780
435,700,173,25.5,1977
397,480,180,29,-1200
470,330,167,26.5,1780
250,420,182,29,60
609,480,173,26.5,240
770,420,184,29.5,880
360,360,167,27,1000
735,350,160,22.5,1380
817,360,169,26,1280
720,480,181,29,2180
399,540,175,27,600
300,420,154,23,180
764,360,170,26.5,2880
600,360,152,23,220
3655,42,174,26.5,980
651,370,164,25.5,60
180,360,169,26.5,1280
3360,2600,174,25.5,1300
480,360,175,28,880
806,420,173,27.5,1780
400,480,171,24.5,0
987,420,177,27,240
555,420,173,27,780
1498,8,168,25.5,0
4200,360,184,29,2040
240,420,173,25,1680
306,360,157,24,1780
660,420,177,28.5,780
334,420,176,26.5,600
480,540,178,29,3000
480,420,178,28.5,740
1690,300,160,24.5,1020
540,420,174,27,600
448,360,163,23.5,420
363,360,168,26.5,980
600,360,180,30,1000
660,480,176,27.5,-120
481.125,350,165,27.5,2700
300,420,158,25,980
695,480,171,27.5,-540
275,240,154,23.5,1900
600,480,175,25.5,740
900,210,176,26.5,-540
670,42,163,26.3,1200
360,8,150,23,1780
416,9,159,24,820
555,360,167,26.5,1380
1299,180,166,30,140
120,360,171,25.5,2640
708,360,183,28.5,600
2520,300,169,26.5,1300
780,120,166,23.5,-360
330,360,158,25,1980
360,720,172,27,3660
1050,360,177,28.5,-500
750,540,170,23.5,-400
627,300,169,27,0
741,420,160,23.5,-360
392,300,174,26.5,220
420,420,175,27,780
420,420,172,27,-300
840,360,185,28,1680
441,456,161,23,60
480,300,170,26.5,2180
320,360,180,28,900
