日付,有効化されたメンバーシップの合計,有効化された通常メンバーの合計,有効化されたゲスト,アクティブなメンバー数（日次）,メッセージを投稿した人数（日次）,アクティブなメンバー数（週次）,メッセージを投稿した人数（週次）,パブリックチャンネルのメッセージ,プライベートチャンネルのメッセージ,共有チャンネルへの投稿メッセージ数,ダイレクトメッセージでの投稿メッセージ数,メッセージの割合、パブリックチャンネル,メッセージの割合、プライベートチャンネル,メッセージの割合、DM,表示回数の割合、パブリックチャンネル,表示回数の割合、プライベートチャンネル,表示回数の割合、DM,通常メンバーの合計,ゲストの合計,総メンバー数,申請された通常メンバー総数,申請されたゲスト総数,申請されたメンバーの合計,アップロードファイル数,メンバーにより投稿されたメッセージ数,パブリックチャンネル、1つのワークスペース,投稿されたメッセージ数,アプリが投稿したメッセージ数,アクティブなメンバー数（月間）,メッセージを投稿した人数（月間）
2025-04-01,570,440,130,299,45,483,158,13,2,0,181,0.0663,0.0102,0.9235,0.7925,0.0493,0.1582,447,130,577,440,124,564,40,196,905,259,1,526,332
2025-04-02,575,445,130,299,52,493,152,23,7,0,191,0.1041,0.0317,0.8643,0.7917,0.0441,0.1642,450,130,580,445,124,569,33,221,905,264,2,531,334
2025-04-03,581,447,134,248,81,495,164,81,12,2,484,0.1404,0.0208,0.8388,0.6123,0.084,0.3036,452,134,586,447,128,575,48,577,926,850,0,539,342
2025-04-04,591,457,134,337,80,504,173,89,54,0,374,0.1721,0.1044,0.7234,0.7441,0.098,0.158,465,134,599,457,128,585,226,517,926,729,0,549,343
2025-04-05,592,458,134,201,29,504,171,2,0,0,125,0.0157,0,0.9843,0.727,0.0347,0.2382,466,134,600,458,128,586,13,127,926,146,0,550,347
2025-04-06,592,458,134,187,40,502,172,11,0,0,231,0.0455,0,0.9545,0.6208,0.0164,0.3628,466,134,600,458,128,586,20,242,926,259,1,551,346
2025-04-07,593,459,134,366,82,441,169,70,6,0,415,0.1426,0.0122,0.8452,0.8267,0.0111,0.1621,472,134,606,459,128,587,64,491,930,658,6,552,345
2025-04-08,590,456,134,339,73,444,184,28,2,0,319,0.0802,0.0057,0.914,0.7854,0.0102,0.2044,465,134,599,456,128,584,55,349,930,631,1,553,345
2025-04-09,578,453,125,324,61,441,185,17,4,5,285,0.0556,0.0131,0.9314,0.7739,0.0082,0.2179,462,125,587,453,119,572,42,306,931,356,0,553,340
2025-04-10,579,454,125,333,65,439,185,16,0,0,307,0.0495,0,0.9505,0.8049,0.0197,0.1754,463,125,588,454,119,573,32,323,932,354,0,553,331
